,index,year,month,expenses_per_capita,average_price_per_kg_or_l
8239,10443,0.0,12,0.0,0.46532438478747207
8280,10494,0.0,12,0.0,0.33557046979865773
8321,10545,0.0,12,0.0,0.0
8362,10596,0.0,12,0.0,0.11185682326621925
8404,10647,0.0,12,0.0,0.28859060402684567
8446,10698,0.0,12,0.0,0.0
8488,10749,0.0,12,0.023696682464454978,0.5816554809843402
8530,10800,0.0,12,0.0,0.0
8571,10851,0.0,12,0.0,0.5570469798657719
8612,10902,0.0,12,0.018957345971563982,0.8836689038031321
8655,10953,0.0,12,0.0,0.0
8697,11004,0.0,12,0.009478672985781991,0.3736017897091723
8738,11106,1.0,1,0.0,0.3847874720357942
8779,11157,1.0,1,0.0,0.7986577181208054
8818,11208,1.0,1,0.004739336492890996,0.7270693512304252
8861,11259,1.0,1,0.023696682464454978,0.21923937360178972
8901,11310,1.0,1,0.0,0.0
8942,11361,1.0,1,0.0,0.44519015659955263
8985,11412,1.0,1,0.0,0.7986577181208054
9026,11463,1.0,1,0.0,0.0
9068,11514,1.0,1,0.0,0.0
9110,11565,1.0,1,0.0,0.3557046979865772
9151,11616,1.0,1,0.004739336492890996,0.27740492170022374
9192,11667,1.0,1,0.0,0.0
9233,11718,1.0,1,0.0,0.0
9274,11769,1.0,1,0.004739336492890996,0.592841163310962
9314,11820,1.0,1,0.0,0.0
9356,11871,1.0,1,0.0,0.0
9396,11922,1.0,1,0.004739336492890996,0.36241610738255037
9437,12024,1.0,2,0.004739336492890996,0.4071588366890381
9478,12075,1.0,2,0.0,0.0
9520,12126,1.0,2,0.0,0.0
9563,12177,1.0,2,0.0,0.3691275167785235
9603,12228,1.0,2,0.042654028436018954,0.447427293064877
9686,12330,1.0,2,0.0,0.3557046979865772
9728,12381,1.0,2,0.014218009478672985,0.35346756152125286
9769,12432,1.0,2,0.009478672985781991,0.6890380313199106
9812,12483,1.0,2,0.0,0.0
9854,12534,1.0,2,0.004739336492890996,0.35346756152125286
9896,12585,1.0,2,0.004739336492890996,0.4228187919463087
9938,12636,1.0,2,0.0,0.0
9981,12687,1.0,2,0.014218009478672985,0.35346756152125286
10023,12738,1.0,2,0.0,0.0
10064,12789,1.0,2,0.0,0.0
10106,12840,1.0,2,0.0,0.0
10148,12942,1.0,3,0.05213270142180095,0.4519015659955258
10189,12993,1.0,3,0.07109004739336493,0.34675615212527966
