,month,expenses_per_capita,average_price_per_kg_or_l,cummulative_cases_for_100k
2742,4,0.03773584905660377,0.38163265306122446,0.19792581157379235
2782,4,0.04402515723270441,0.31632653061224486,0.19792581157379235
2823,4,0.040880503144654086,0.22653061224489796,0.19792581157379235
2864,5,0.5188679245283019,0.2959183673469387,0.22466121034606085
2904,5,0.5377358490566038,0.2714285714285714,0.22466121034606085
2946,5,0.3773584905660377,0.2530612244897959,0.22466121034606085
2988,5,0.4937106918238994,0.29387755102040813,0.22466121034606085
3030,5,0.5031446540880503,0.2551020408163265,0.22466121034606085
3072,5,0.4622641509433962,0.24897959183673465,0.22466121034606085
3113,5,0.4685534591194968,0.27346938775510204,0.22466121034606085
3154,5,0.6226415094339622,0.2551020408163265,0.22466121034606085
3196,5,0.5377358490566038,0.2551020408163265,0.22466121034606085
3237,5,0.43710691823899367,0.26530612244897955,0.22466121034606085
3279,5,0.25471698113207547,0.30204081632653057,0.22466121034606085
3321,5,0.31761006289308175,0.2755102040816326,0.22466121034606085
3363,5,0.2389937106918239,0.34081632653061217,0.22466121034606085
3405,5,0.43396226415094336,0.30204081632653057,0.22466121034606085
3446,5,0.3081761006289308,0.25102040816326526,0.22466121034606085
3488,5,0.3584905660377358,0.3081632653061224,0.22466121034606085
3529,5,0.25157232704402516,0.2183673469387755,0.22466121034606085
3569,6,0.660377358490566,0.22448979591836735,0.2909068771898122
3611,6,0.7735849056603773,0.21428571428571427,0.2909068771898122
3653,6,0.720125786163522,0.19795918367346935,0.2909068771898122
3695,6,0.6792452830188679,0.21020408163265306,0.2909068771898122
3737,6,0.7672955974842767,0.18367346938775508,0.2909068771898122
3779,6,0.6509433962264151,0.19387755102040813,0.2909068771898122
3821,6,0.6918238993710693,0.2040816326530612,0.2909068771898122
3863,6,0.9465408805031446,0.19591836734693874,0.2909068771898122
3905,6,0.6257861635220126,0.17959183673469387,0.2909068771898122
3947,6,0.6666666666666666,0.18979591836734694,0.2909068771898122
3989,6,0.3993710691823899,0.22653061224489796,0.2909068771898122
4031,6,0.5031446540880503,0.22653061224489796,0.2909068771898122
4074,6,0.2861635220125786,0.19795918367346935,0.2909068771898122
4116,6,0.4685534591194968,0.22448979591836735,0.2909068771898122
4157,6,0.4496855345911949,0.24285714285714283,0.2909068771898122
4199,6,0.43710691823899367,0.19999999999999998,0.2909068771898122
4240,6,0.440251572327044,0.21428571428571427,0.2909068771898122
4282,7,0.7295597484276729,0.16530612244897958,0.4253933742981531
4323,7,0.6037735849056604,0.14489795918367346,0.4253933742981531
4364,7,0.6761006289308176,0.14489795918367346,0.4253933742981531
4405,7,0.6855345911949686,0.14489795918367346,0.4253933742981531
4446,7,0.7672955974842767,0.15918367346938775,0.4253933742981531
4488,7,0.6352201257861635,0.14693877551020407,0.4253933742981531
4530,7,0.550314465408805,0.14897959183673468,0.4253933742981531
4572,7,0.6981132075471699,0.13469387755102039,0.4253933742981531
4615,7,1.0,0.16326530612244897,0.4253933742981531
4656,7,0.6069182389937107,0.13673469387755102,0.4253933742981531
4698,7,0.45283018867924524,0.1714285714285714,0.4253933742981531
4739,7,0.48427672955974843,0.15918367346938775,0.4253933742981531
4779,7,0.380503144654088,0.15102040816326529,0.4253933742981531
4820,7,0.4496855345911949,0.1551020408163265,0.4253933742981531
4860,7,0.5094339622641509,0.173469387755102,0.4253933742981531
4900,7,0.3584905660377358,0.13469387755102039,0.4253933742981531
4942,7,0.41509433962264153,0.17755102040816326,0.4253933742981531
4984,8,0.5220125786163522,0.14897959183673468,0.5276690306093776
5024,8,0.5911949685534591,0.13877551020408163,0.5276690306093776
5063,8,0.5880503144654088,0.12244897959183672,0.5276690306093776
5104,8,0.5031446540880503,0.13877551020408163,0.5276690306093776
5143,8,0.5188679245283019,0.12448979591836733,0.5276690306093776
5185,8,0.45283018867924524,0.12653061224489795,0.5276690306093776
5227,8,0.3710691823899371,0.14489795918367346,0.5276690306093776
5269,8,0.4811320754716981,0.12653061224489795,0.5276690306093776
5311,8,0.4716981132075472,0.12040816326530611,0.5276690306093776
5353,8,0.5911949685534591,0.12653061224489795,0.5276690306093776
5395,8,0.3773584905660377,0.14693877551020407,0.5276690306093776
5435,8,0.3050314465408805,0.14693877551020407,0.5276690306093776
5475,8,0.3081761006289308,0.12857142857142856,0.5276690306093776
5516,8,0.31446540880503143,0.14285714285714282,0.5276690306093776
5556,8,0.4779874213836478,0.14489795918367346,0.5276690306093776
5595,8,0.5062893081761006,0.13061224489795917,0.5276690306093776
5635,8,0.2893081761006289,0.15102040816326529,0.5276690306093776
5676,9,0.32075471698113206,0.19387755102040813,0.5902252871023204
5718,9,0.4622641509433962,0.1714285714285714,0.5902252871023204
5757,9,0.32075471698113206,0.16530612244897958,0.5902252871023204
5797,9,0.2578616352201258,0.18163265306122447,0.5902252871023204
5837,9,0.3584905660377358,0.17551020408163262,0.5902252871023204
5879,9,0.27044025157232704,0.15714285714285714,0.5902252871023204
5922,9,0.29245283018867924,0.173469387755102,0.5902252871023204
5964,9,0.330188679245283,0.16734693877551018,0.5902252871023204
6004,9,0.27358490566037735,0.15102040816326529,0.5902252871023204
6046,9,0.5786163522012578,0.19591836734693874,0.5902252871023204
6087,9,0.3018867924528302,0.22653061224489796,0.5902252871023204
6130,9,0.279874213836478,0.1693877551020408,0.5902252871023204
6171,9,0.1792452830188679,0.17551020408163262,0.5902252871023204
6212,9,0.25471698113207547,0.1693877551020408,0.5902252871023204
6253,9,0.18238993710691823,0.13877551020408163,0.5902252871023204
6294,9,0.31446540880503143,0.17755102040816326,0.5902252871023204
6335,9,0.27672955974842767,0.21224489795918366,0.5902252871023204
6376,10,0.07547169811320754,0.25102040816326526,0.9161990421409335
6417,10,0.06918238993710692,0.21632653061224488,0.9161990421409335
6458,10,0.03773584905660377,0.18163265306122447,0.9161990421409335
6501,10,0.04716981132075471,0.19387755102040813,0.9161990421409335
6542,10,0.04402515723270441,0.2040816326530612,0.9161990421409335
6584,10,0.056603773584905655,0.1857142857142857,0.9161990421409335
6626,10,0.07547169811320754,0.20816326530612242,0.9161990421409335
6665,10,0.059748427672955975,0.18163265306122447,0.9161990421409335
6706,10,0.07547169811320754,0.15918367346938775,0.9161990421409335
6748,10,0.06918238993710692,0.17959183673469387,0.9161990421409335
6789,10,0.0660377358490566,0.21428571428571427,0.9161990421409335
6830,10,0.028301886792452827,0.2183673469387755,0.9161990421409335
6871,10,0.03459119496855346,0.15918367346938775,0.9161990421409335
6913,10,0.05031446540880503,0.24285714285714283,0.9161990421409335
6952,10,0.06289308176100629,0.1714285714285714,0.9161990421409335
6993,10,0.059748427672955975,0.21020408163265306,0.9161990421409335
7034,10,0.11635220125786162,0.21428571428571427,0.9161990421409335
7075,11,0.006289308176100628,0.35918367346938773,1.0
7116,11,0.003144654088050314,0.31224489795918364,1.0
7156,11,0.0,0.0,1.0
7197,11,0.012578616352201257,0.4653061224489795,1.0
7238,11,0.0,0.0,1.0
7278,11,0.0,0.29387755102040813,1.0
7319,11,0.003144654088050314,0.1714285714285714,1.0
7360,11,0.009433962264150943,0.10816326530612244,1.0
7400,11,0.0,0.31224489795918364,1.0
7442,11,0.003144654088050314,1.0,1.0
7482,11,0.003144654088050314,0.3755102040816326,1.0
7522,11,0.009433962264150943,0.410204081632653,1.0
7562,11,0.0,0.0,1.0
7603,11,0.003144654088050314,0.2877551020408163,1.0
7642,11,0.0,0.0,1.0
7683,11,0.003144654088050314,0.2551020408163265,1.0
7724,11,0.031446540880503145,0.2755102040816326,1.0
7764,12,0.006289308176100628,0.14285714285714282,0.49762365330481717
7804,12,0.0,0.0,0.49762365330481717
7846,12,0.0,0.0,0.49762365330481717
7887,12,0.006289308176100628,0.32653061224489793,0.49762365330481717
7927,12,0.003144654088050314,0.26326530612244897,0.49762365330481717
7968,12,0.003144654088050314,0.5224489795918367,0.49762365330481717
8009,12,0.009433962264150943,0.2714285714285714,0.49762365330481717
8050,12,0.0,0.0,0.49762365330481717
8092,12,0.0,0.0,0.49762365330481717
8134,12,0.003144654088050314,0.26530612244897955,0.49762365330481717
8172,12,0.006289308176100628,0.5326530612244897,0.49762365330481717
8212,12,0.003144654088050314,0.5265306122448979,0.49762365330481717
8251,12,0.0,0.0,0.49762365330481717
8291,12,0.0,0.0,0.49762365330481717
8330,12,0.0,0.0,0.49762365330481717
8371,12,0.0,0.0,0.49762365330481717
8411,12,0.009433962264150943,0.32653061224489793,0.49762365330481717
